x,217,221,225,229,233,237,241,245,249,APAR_213.1,APAR_214.2,APAR_215.3,APAR_216.4,APAR_217.5,APAR_218.6,APAR_219.7,APAR_220.8,APAR_221.9,APAR_222.10,APAR_223.11,APAR_224.12,APAR_225.13,APAR_226.14,APAR_227.15,APAR_228.16,APAR_229.17,APAR_230.18,APAR_231.19,FIF_203.3,FIF_204.4,FIF_205.5,FIF_206.6,FIF_207.7,APAR_16.16,APAR_17.17,APAR_18.18
2019-01-12--03:39:24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.3,18.8,17.6,11.6,6.9,18.5,17.4,15.2,10.4,5.5,28.9,24.5,20.7,26.7,21.3,17.6,26.1,18.6,10.2,22.8,26.0,24.2,24.5,23.4,8.4,10.9,13.8
2019-01-12--03:43:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.3,18.8,17.6,11.6,6.9,18.5,17.4,15.2,10.4,5.5,28.9,24.5,20.7,26.7,21.3,17.6,26.1,18.6,10.2,22.8,26.0,24.2,24.5,23.4,8.4,10.9,13.8
2019-01-12--03:46:36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.3,18.8,17.6,11.6,6.9,18.5,17.4,15.2,10.5,5.5,28.9,24.5,20.7,26.7,21.3,17.7,26.1,18.7,10.3,22.8,26.0,24.2,24.5,23.4,8.3,10.9,13.8
2019-01-12--03:50:12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.3,18.8,17.6,11.6,6.9,18.5,17.4,15.2,10.5,5.5,28.9,24.5,20.7,26.7,21.3,17.7,26.1,18.7,10.3,22.8,26.0,24.2,24.5,23.4,8.3,10.9,13.8
2019-01-12--03:53:48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.3,18.8,17.6,11.6,6.9,18.5,17.4,15.2,10.5,5.5,28.9,24.5,20.7,26.7,21.3,17.7,26.1,18.7,10.3,22.8,26.0,24.2,24.5,23.4,8.3,10.9,13.8
2019-01-12--03:57:24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.3,18.8,17.6,11.6,6.9,18.5,17.4,15.2,10.5,5.5,28.9,24.5,20.7,26.7,21.3,17.7,26.1,18.7,10.3,22.8,26.0,24.2,24.5,23.4,8.3,10.9,13.8
2019-01-12--04:01:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.3,18.8,17.6,11.6,7.0,18.5,17.5,15.2,10.5,5.6,28.9,24.5,20.8,26.7,21.3,17.6,26.1,18.7,10.3,22.9,26.0,24.2,24.5,23.4,8.5,10.9,13.8
2019-01-12--04:04:36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.3,18.8,17.6,11.6,7.0,18.5,17.5,15.2,10.5,5.6,28.9,24.5,20.8,26.7,21.3,17.6,26.1,18.7,10.3,22.9,26.0,24.2,24.5,23.4,8.5,10.9,13.8
2019-01-12--04:08:12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.3,18.8,17.6,11.6,7.0,18.5,17.5,15.2,10.5,5.6,28.9,24.5,20.8,26.7,21.3,17.6,26.1,18.7,10.3,22.9,26.0,24.2,24.5,23.4,8.5,10.9,13.8
2019-01-12--04:11:48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.3,18.8,17.6,11.6,7.0,18.5,17.5,15.2,10.5,5.6,28.9,24.5,20.8,26.7,21.3,17.6,26.1,18.7,10.3,22.9,26.0,24.2,24.5,23.4,8.5,10.9,13.8
2019-01-12--04:15:24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.4,18.8,17.6,11.7,7.0,18.5,17.5,15.2,10.5,5.7,29.0,24.5,20.8,26.7,21.3,17.6,26.1,18.7,10.3,22.9,26.0,24.2,24.5,23.5,8.5,10.9,13.8
2019-01-12--04:19:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.4,18.8,17.6,11.7,7.0,18.5,17.5,15.2,10.5,5.7,29.0,24.5,20.8,26.7,21.3,17.6,26.1,18.7,10.3,22.9,26.0,24.2,24.5,23.5,8.5,10.9,13.8
2019-01-12--04:22:36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.4,18.8,17.6,11.7,7.0,18.5,17.5,15.2,10.5,5.7,29.0,24.5,20.8,26.7,21.3,17.6,26.1,18.7,10.3,22.9,26.0,24.2,24.5,23.5,8.5,10.9,13.8
2019-01-12--04:26:12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.4,18.8,17.6,11.7,7.0,18.5,17.5,15.2,10.5,5.7,29.0,24.5,20.8,26.7,21.3,17.6,26.1,18.7,10.3,22.9,26.0,24.2,24.5,23.5,8.5,10.9,13.8
2019-01-12--04:29:48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.4,18.8,17.6,11.7,7.0,18.5,17.5,15.2,10.5,5.7,29.0,24.5,20.8,26.7,21.3,17.6,26.1,18.7,10.3,22.9,26.0,24.2,24.5,23.5,8.5,10.9,13.8
2019-01-12--04:33:24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.4,18.8,17.6,11.7,7.1,18.5,17.5,15.2,10.5,5.7,29.0,24.5,20.8,26.7,21.3,17.6,26.1,18.7,10.4,22.9,26.0,24.3,24.5,23.5,8.4,10.9,13.8
2019-01-12--04:37:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.4,18.8,17.6,11.7,7.1,18.5,17.5,15.2,10.5,5.7,29.0,24.5,20.8,26.7,21.3,17.6,26.1,18.7,10.4,22.9,26.0,24.3,24.5,23.5,8.4,10.9,13.8
2019-01-12--04:40:36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.4,18.8,17.6,11.7,7.1,18.5,17.5,15.2,10.5,5.7,29.0,24.5,20.8,26.7,21.3,17.6,26.1,18.7,10.4,22.9,26.0,24.3,24.5,23.5,8.4,10.9,13.8
2019-01-12--04:44:12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.4,18.8,17.6,11.7,7.1,18.5,17.5,15.2,10.5,5.7,29.0,24.5,20.8,26.7,21.3,17.6,26.1,18.7,10.4,22.9,26.0,24.3,24.5,23.5,8.4,10.9,13.8
2019-01-12--04:47:48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.4,18.8,17.6,11.7,7.1,18.5,17.5,15.2,10.6,5.8,29.0,24.5,20.8,26.7,21.3,17.7,26.1,18.7,10.4,22.9,26.0,24.3,24.6,23.5,8.4,10.9,13.8
2019-01-12--04:51:24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.4,18.8,17.6,11.7,7.1,18.5,17.5,15.2,10.6,5.8,29.0,24.5,20.8,26.7,21.3,17.7,26.1,18.7,10.4,22.9,26.0,24.3,24.6,23.5,8.4,10.9,13.8
2019-01-12--04:55:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.4,18.8,17.6,11.7,7.1,18.5,17.5,15.2,10.6,5.8,29.0,24.5,20.8,26.7,21.3,17.7,26.1,18.7,10.4,22.9,26.0,24.3,24.6,23.5,8.4,10.9,13.8
2019-01-12--04:58:36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.4,18.8,17.6,11.7,7.1,18.5,17.5,15.2,10.6,5.8,29.0,24.5,20.8,26.7,21.3,17.7,26.1,18.7,10.4,22.9,26.0,24.3,24.6,23.5,8.4,10.9,13.8
