x,APAR_411.11,APAR_412.12,APAR_413.13,APAR_414.14,APAR_415.15,APAR_416.16,APAR_417.17,APAR_418.18,APAR_419.19,APAR_420.20,APAR_421.21,APAR_422.22,APAR_423.23,APAR_424.24,APAR_425.25,FIF_402.2,FIF_403.3,FIF_404.4,FIF_405.5,FIF_406.6
2019-01-12--05:23:48,20.1,19.8,17.4,11.4,7.5,19.5,18.9,17.1,11.3,5.0,18.8,18.2,16.9,5.6,-0.6,23.2,27.1,23.5,22.7,24.1
2019-01-12--05:27:24,20.1,19.8,17.4,11.4,7.5,19.5,18.9,17.1,11.3,5.0,18.8,18.2,16.9,5.6,-0.6,23.2,27.1,23.5,22.7,24.1
2019-01-12--05:31:00,20.2,19.8,17.5,11.5,7.5,19.5,18.9,17.1,11.4,5.1,18.8,18.2,16.9,5.7,-0.6,23.2,27.2,23.6,22.7,24.1
2019-01-12--05:34:36,20.2,19.8,17.5,11.5,7.5,19.5,18.9,17.1,11.4,5.1,18.8,18.2,16.9,5.7,-0.6,23.2,27.2,23.6,22.7,24.1
2019-01-12--05:38:12,20.2,19.8,17.5,11.5,7.5,19.5,18.9,17.1,11.4,5.1,18.8,18.2,16.9,5.7,-0.6,23.2,27.2,23.6,22.7,24.1
2019-01-12--05:41:48,20.2,19.8,17.5,11.5,7.5,19.5,18.9,17.1,11.4,5.1,18.8,18.2,16.9,5.7,-0.6,23.2,27.2,23.6,22.7,24.1
2019-01-12--05:45:24,20.2,19.8,17.5,11.5,7.6,19.5,18.9,17.1,11.4,5.1,18.8,18.2,17.0,5.8,-0.7,23.2,27.3,23.6,22.7,24.2
2019-01-12--05:49:00,20.2,19.8,17.5,11.5,7.6,19.5,18.9,17.1,11.4,5.1,18.8,18.2,17.0,5.8,-0.7,23.2,27.3,23.6,22.7,24.2
2019-01-12--05:52:36,20.2,19.8,17.5,11.5,7.6,19.5,18.9,17.1,11.4,5.1,18.8,18.2,17.0,5.8,-0.7,23.2,27.3,23.6,22.7,24.2
2019-01-12--05:56:12,20.2,19.8,17.5,11.5,7.6,19.5,18.9,17.1,11.4,5.1,18.8,18.2,17.0,5.8,-0.7,23.2,27.3,23.6,22.7,24.2
2019-01-12--05:59:48,20.2,19.8,17.5,11.5,7.6,19.5,18.9,17.1,11.4,5.1,18.8,18.2,17.0,5.8,-0.7,23.2,27.3,23.6,22.7,24.2
2019-01-12--06:03:24,20.2,19.8,17.5,11.5,7.6,19.5,18.9,17.1,11.5,5.2,18.9,18.3,17.0,5.9,-0.7,23.3,27.3,23.6,22.7,24.2
2019-01-12--06:07:00,20.2,19.8,17.5,11.5,7.6,19.5,18.9,17.1,11.5,5.2,18.9,18.3,17.0,5.9,-0.7,23.3,27.3,23.6,22.7,24.2
2019-01-12--06:10:36,20.2,19.8,17.5,11.5,7.6,19.5,18.9,17.1,11.5,5.2,18.9,18.3,17.0,5.9,-0.7,23.3,27.3,23.6,22.7,24.2
2019-01-12--06:14:12,20.2,19.8,17.5,11.5,7.6,19.5,18.9,17.1,11.5,5.2,18.9,18.3,17.0,5.9,-0.7,23.3,27.3,23.6,22.7,24.2
2019-01-12--06:17:48,20.2,19.8,17.5,11.6,7.7,19.5,18.9,17.2,11.5,5.3,18.9,18.3,17.0,5.9,-0.6,23.3,27.3,23.6,22.7,24.2
2019-01-12--06:21:24,20.2,19.8,17.5,11.6,7.7,19.5,18.9,17.2,11.5,5.3,18.9,18.3,17.0,5.9,-0.6,23.3,27.3,23.6,22.7,24.2
