('0 RG', 'Temperatura') {'x': 1546842733000, '648': 'NaN', 'APAR_30.1': '9.5', 'APAR_31.2': '9.0', 'APAR_32.3': '7.3', 'APAR_33.4': '6552.8', 'APAR_34.5': '6545.2'}
('0 RG', 'Temperatura') {'x': 1546842949000, '648': 'NaN', 'APAR_30.1': '9.5', 'APAR_31.2': '8.9', 'APAR_32.3': '7.3', 'APAR_33.4': '6552.8', 'APAR_34.5': '6545.2'}
('0 RG', 'Temperatura') {'x': 1546843165000, '648': 'NaN', 'APAR_30.1': '9.5', 'APAR_31.2': '8.9', 'APAR_32.3': '7.3', 'APAR_33.4': '6552.8', 'APAR_34.5': '6545.2'}
('0 RG', 'Temperatura') {'x': 1546843381000, '648': 'NaN', 'APAR_30.1': '9.5', 'APAR_31.2': '8.9', 'APAR_32.3': '7.2', 'APAR_33.4': '6552.7', 'APAR_34.5': '6545.1'}
('0 RG', 'Temperatura') {'x': 1546843597000, '648': 'NaN', 'APAR_30.1': '9.5', 'APAR_31.2': '8.9', 'APAR_32.3': '7.2', 'APAR_33.4': '6552.7', 'APAR_34.5': '6545.1'}
('0 RG', 'Temperatura') {'x': 1546843813000, '648': 'NaN', 'APAR_30.1': '9.5', 'APAR_31.2': '8.9', 'APAR_32.3': '7.2', 'APAR_33.4': '6552.7', 'APAR_34.5': '6545.1'}
('0 RG', 'Temperatura') {'x': 1546844029000, '648': 'NaN', 'APAR_30.1': '9.5', 'APAR_31.2': '8.9', 'APAR_32.3': '7.2', 'APAR_33.4': '6552.7', 'APAR_34.5': '6545.1'}
('0 RG', 'Temperatura') {'x': 1546844245000, '648': 'NaN', 'APAR_30.1': '9.5', 'APAR_31.2': '8.9', 'APAR_32.3': '7.2', 'APAR_33.4': '6552.7', 'APAR_34.5': '6545.1'}
('0 RG', 'Temperatura') {'x': 1546844461000, '648': 'NaN', 'APAR_30.1': '9.5', 'APAR_31.2': '8.9', 'APAR_32.3': '7.2', 'APAR_33.4': '6552.6', 'APAR_34.5': '6545.1'}
('0 RG', 'Temperatura') {'x': 1546844677000, '648': 'NaN', 'APAR_30.1': '9.5', 'APAR_31.2': '8.9', 'APAR_32.3': '7.2', 'APAR_33.4': '6552.6', 'APAR_34.5': '6545.1'}
('0 RG', 'Temperatura') {'x': 1546844893000, '648': 'NaN', 'APAR_30.1': '9.5', 'APAR_31.2': '8.9', 'APAR_32.3': '7.2', 'APAR_33.4': '6552.6', 'APAR_34.5': '6545.1'}
('0 RG', 'Temperatura') {'x': 1546845109000, '648': 'NaN', 'APAR_30.1': '9.6', 'APAR_31.2': '8.9', 'APAR_32.3': '7.2', 'APAR_33.4': '6552.6', 'APAR_34.5': '6545.1'}
('0 RG', 'Temperatura') {'x': 1546845325000, '648': 'NaN', 'APAR_30.1': '9.6', 'APAR_31.2': '8.9', 'APAR_32.3': '7.2', 'APAR_33.4': '6552.5', 'APAR_34.5': '6545.1'}
('0 RG', 'Temperatura') {'x': 1546845541000, '648': 'NaN', 'APAR_30.1': '9.6', 'APAR_31.2': '8.9', 'APAR_32.3': '7.2', 'APAR_33.4': '6552.5', 'APAR_34.5': '6545.1'}
('0 RG', 'Temperatura') {'x': 1546845757000, '648': 'NaN', 'APAR_30.1': '9.6', 'APAR_31.2': '8.9', 'APAR_32.3': '7.2', 'APAR_33.4': '6552.5', 'APAR_34.5': '6545.1'}
('0 RG', 'Temperatura') {'x': 1546845973000, '648': 'NaN', 'APAR_30.1': '9.6', 'APAR_31.2': '8.9', 'APAR_32.3': '7.2', 'APAR_33.4': '6552.5', 'APAR_34.5': '6545.2'}
('0 RG', 'Temperatura') {'x': 1546846189000, '648': 'NaN', 'APAR_30.1': '9.6', 'APAR_31.2': '8.9', 'APAR_32.3': '7.2', 'APAR_33.4': '6552.5', 'APAR_34.5': '6545.2'}
