x,APAR_511.11,APAR_512.12,APAR_513.13,APAR_514.14,APAR_515.15,APAR_516.16,APAR_517.17,APAR_518.18,APAR_519.19,APAR_520.20,APAR_521.21,APAR_522.22,APAR_523.23,FIF_504.4,FIF_505.5,FIF_506.6
2019-01-15--06:28:36,20.9,20.8,14.5,8.8,3.6,20.8,20.6,18.7,16.5,22.1,21.9,19.7,17.2,25.9,24.2,25.8
2019-01-15--06:32:12,20.9,20.8,14.4,8.7,3.6,20.8,20.6,18.7,16.5,22.1,21.9,19.7,17.2,25.9,24.2,25.8
2019-01-15--06:35:48,20.9,20.8,14.4,8.7,3.6,20.8,20.6,18.7,16.5,22.1,21.9,19.7,17.2,25.9,24.2,25.8
2019-01-15--06:39:24,20.9,20.8,14.4,8.7,3.6,20.8,20.6,18.7,16.5,22.1,21.9,19.7,17.2,25.9,24.2,25.8
2019-01-15--06:43:00,20.9,20.8,14.4,8.7,3.6,20.8,20.6,18.7,16.5,22.1,21.9,19.7,17.2,25.9,24.2,25.8
2019-01-15--06:46:36,20.9,20.8,14.4,8.7,3.6,20.8,20.6,18.7,16.5,22.0,21.9,19.7,17.2,25.9,24.2,25.9
2019-01-15--06:50:12,20.9,20.8,14.4,8.7,3.6,20.8,20.6,18.7,16.5,22.0,21.9,19.7,17.2,25.9,24.2,25.9
2019-01-15--06:53:48,20.9,20.8,14.4,8.7,3.6,20.8,20.6,18.7,16.5,22.0,21.9,19.7,17.2,25.9,24.2,25.9
2019-01-15--06:57:24,20.9,20.8,14.4,8.7,3.6,20.8,20.6,18.7,16.5,22.0,21.9,19.7,17.2,25.9,24.2,25.9
2019-01-15--07:01:00,20.9,20.8,14.4,8.7,3.7,20.8,20.6,18.7,16.5,22.1,21.9,19.7,17.2,25.9,24.2,25.9
2019-01-15--07:04:36,20.9,20.8,14.4,8.7,3.7,20.8,20.6,18.7,16.5,22.1,21.9,19.7,17.2,25.9,24.2,25.9
2019-01-15--07:08:12,20.9,20.8,14.4,8.7,3.7,20.8,20.6,18.7,16.5,22.1,21.9,19.7,17.2,25.9,24.2,25.9
2019-01-15--07:11:48,20.9,20.8,14.4,8.7,3.7,20.8,20.6,18.7,16.5,22.1,21.9,19.7,17.2,25.9,24.2,25.9
2019-01-15--07:15:24,20.9,20.8,14.4,8.7,3.7,20.8,20.6,18.7,16.5,22.1,21.9,19.7,17.2,25.9,24.2,25.9
2019-01-15--07:19:00,20.9,20.8,14.4,8.8,3.7,20.8,20.6,18.7,16.4,22.1,21.9,19.7,17.2,25.9,24.2,26.0
2019-01-15--07:22:36,20.9,20.8,14.4,8.8,3.7,20.8,20.6,18.7,16.4,22.1,21.9,19.7,17.2,25.9,24.2,26.0
2019-01-15--07:26:12,20.9,20.8,14.4,8.8,3.7,20.8,20.6,18.7,16.4,22.1,21.9,19.7,17.2,25.9,24.2,26.0
2019-01-15--07:29:48,20.9,20.8,14.4,8.8,3.7,20.8,20.6,18.7,16.4,22.1,21.9,19.7,17.2,25.9,24.2,26.0
2019-01-15--07:33:24,20.9,20.8,14.4,8.8,3.8,20.8,20.6,18.7,16.4,22.1,21.9,19.7,17.2,25.9,24.2,26.1
2019-01-15--07:37:00,20.9,20.8,14.4,8.8,3.8,20.8,20.6,18.7,16.4,22.1,21.9,19.7,17.2,25.9,24.2,26.1
2019-01-15--07:40:36,20.9,20.8,14.4,8.8,3.8,20.8,20.6,18.7,16.4,22.1,21.9,19.7,17.2,25.9,24.2,26.1
2019-01-15--07:44:12,20.9,20.8,14.4,8.8,3.8,20.8,20.6,18.7,16.4,22.1,21.9,19.7,17.2,25.9,24.2,26.1
2019-01-15--07:47:48,20.9,20.8,14.5,8.8,3.8,20.7,20.6,18.7,16.4,22.1,21.9,19.7,17.2,26.0,24.2,26.2
2019-01-15--07:51:24,20.9,20.8,14.5,8.8,3.8,20.7,20.6,18.7,16.4,22.1,21.9,19.7,17.2,26.0,24.2,26.2
2019-01-15--07:55:00,20.9,20.8,14.5,8.8,3.8,20.7,20.6,18.7,16.4,22.1,21.9,19.7,17.2,26.0,24.2,26.2
2019-01-15--07:58:36,20.9,20.8,14.5,8.8,3.8,20.7,20.6,18.7,16.4,22.1,21.9,19.7,17.2,26.0,24.2,26.2
2019-01-15--08:02:12,20.9,20.8,14.5,8.9,3.9,20.7,20.6,18.7,16.4,22.1,21.9,19.7,17.1,26.0,24.3,26.2
2019-01-15--08:05:48,20.9,20.8,14.5,8.9,3.9,20.7,20.6,18.7,16.4,22.1,21.9,19.7,17.1,26.0,24.3,26.2
2019-01-15--08:09:24,20.9,20.8,14.5,8.9,3.9,20.7,20.6,18.7,16.4,22.1,21.9,19.7,17.1,26.0,24.3,26.2
2019-01-15--08:13:00,20.9,20.8,14.5,8.9,3.9,20.7,20.6,18.7,16.4,22.1,21.9,19.7,17.1,26.0,24.3,26.2
2019-01-15--08:16:36,20.9,20.8,14.5,8.9,3.9,20.7,20.6,18.7,16.4,22.1,21.9,19.7,17.1,26.1,24.2,26.3
2019-01-15--08:20:12,20.9,20.8,14.5,8.9,3.9,20.7,20.6,18.7,16.4,22.1,21.9,19.7,17.1,26.1,24.2,26.3
2019-01-15--08:23:48,20.9,20.8,14.5,8.9,3.9,20.7,20.6,18.7,16.4,22.1,21.9,19.7,17.1,26.1,24.2,26.3
2019-01-15--08:27:24,20.9,20.8,14.5,8.9,3.9,20.7,20.6,18.7,16.4,22.1,21.9,19.7,17.1,26.1,24.2,26.3
2019-01-15--08:31:00,20.9,20.8,14.5,9.0,4.0,20.7,20.6,18.7,16.4,22.2,21.9,19.6,17.1,26.1,24.3,26.3
2019-01-15--08:34:36,20.9,20.8,14.5,9.0,4.0,20.7,20.6,18.7,16.4,22.2,21.9,19.6,17.1,26.1,24.3,26.3
2019-01-15--08:38:12,20.9,20.8,14.5,9.0,4.0,20.7,20.6,18.7,16.4,22.2,21.9,19.6,17.1,26.1,24.3,26.3
2019-01-15--08:41:48,20.9,20.8,14.5,9.0,4.0,20.7,20.6,18.7,16.4,22.2,21.9,19.6,17.1,26.1,24.3,26.3
